timestamp,goniometer,recording_flag
1746661245.7640545,14788.0,1
1746661245.7735853,18649.0,1
1746661245.7844517,21838.0,1
1746661245.7943463,25624.0,1
1746661245.8045352,27312.0,1
1746661245.8147817,31710.0,1
1746661245.8245056,35541.0,1
1746661245.834193,39412.0,1
1746661245.843855,43653.0,1
1746661245.854475,47909.0,1
1746661245.8641317,50594.0,1
1746661245.8742085,53635.0,1
1746661245.8854942,56976.0,1
1746661245.894602,61037.0,1
1746661245.903861,65024.0,1
1746661245.9155855,68231.0,1
1746661245.9243622,71537.0,1
1746661245.934002,74080.0,1
1746661245.9452126,79322.0,1
1746661245.9542775,83003.0,1
1746661245.964698,85624.0,1
1746661245.9742198,88581.0,1
1746661245.9848607,90896.0,1
1746661245.993729,94049.0,1
1746661246.004138,97556.0,1
1746661246.0135658,100923.0,1
1746661246.0241492,103719.0,1
1746661246.034186,105878.0,1
1746661246.0437043,107831.0,1
1746661246.0538576,110798.0,1
1746661246.064544,113499.0,1
1746661246.074273,116201.0,1
1746661246.0847762,117726.0,1
1746661246.0983787,118979.0,1
1746661246.1045463,119783.0,1
1746661246.115257,121808.0,1
1746661246.1240153,123537.0,1
1746661246.1338356,125755.0,1
1746661246.1441095,126514.0,1
1746661246.1541507,127556.0,1
1746661246.1641297,128155.0,1
1746661246.1757047,128716.0,1
1746661246.1859853,129393.0,1
1746661246.1947446,129901.0,1
1746661246.2046041,130043.0,1
1746661246.2149575,130576.0,1
1746661246.224304,130503.0,1
1746661246.2341065,129851.0,1
1746661246.245733,130320.0,1
1746661246.2556627,130378.0,1
1746661246.264034,130060.0,1
1746661246.2759762,129751.0,1
1746661246.2871313,129703.0,1
1746661246.2947965,128992.0,1
1746661246.3045294,128511.0,1
1746661246.315114,127505.0,1
1746661246.3244143,126775.0,1
1746661246.3358026,124943.0,1
1746661246.3458972,123409.0,1
1746661246.3549488,122785.0,1
1746661246.3661253,120377.0,1
1746661246.3753006,118520.0,1
1746661246.38652,117047.0,1
1746661246.3950198,115258.0,1
1746661246.4064858,113655.0,1
1746661246.4162798,110895.0,1
1746661246.425655,108636.0,1
1746661246.4346225,106387.0,1
1746661246.445235,102935.0,1
1746661246.4561775,99872.0,1
1746661246.464519,97785.0,1
1746661246.4746735,95162.0,1
1746661246.4878762,92907.0,1
1746661246.5002651,89934.0,1
1746661246.5061402,87139.0,1
